new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
3040,0.65772,0.08481,0.00877,0.00577,0.11200,0.87346,0.94952
3050,0.65846,0.08684,0.00875,0.00576,0.11153,0.87396,0.94971
3060,0.65920,0.08563,0.00873,0.00575,0.11084,0.87468,0.94996
3070,0.65993,0.08777,0.00871,0.00574,0.11062,0.87493,0.95007
3080,0.66066,0.08701,0.00869,0.00572,0.10994,0.87565,0.95032
3090,0.66139,0.08741,0.00867,0.00571,0.10948,0.87614,0.95050
3100,0.66211,0.08720,0.00866,0.00570,0.10858,0.87707,0.95083
3110,0.66283,0.08814,0.00864,0.00568,0.10812,0.87756,0.95100
3120,0.66355,0.08869,0.00862,0.00567,0.10789,0.87782,0.95111
3130,0.66426,0.08878,0.00860,0.00566,0.10745,0.87829,0.95128
3140,0.66497,0.08815,0.00858,0.00565,0.10721,0.87856,0.95139
3150,0.66568,0.09002,0.00856,0.00564,0.10698,0.87882,0.95149
3160,0.66639,0.09071,0.00854,0.00562,0.10675,0.87908,0.95160
3170,0.66709,0.08906,0.00853,0.00561,0.10631,0.87955,0.95177
3180,0.66779,0.08838,0.00819,0.00560,0.10641,0.87981,0.95209
3190,0.66848,0.08877,0.00795,0.00559,0.10596,0.88049,0.95247
3200,0.66918,0.08958,0.00794,0.00558,0.10552,0.88097,0.95264
3210,0.66987,0.09118,0.00792,0.00546,0.10530,0.88133,0.95282
3220,0.67055,0.08930,0.00790,0.00545,0.10486,0.88179,0.95299
3230,0.67124,0.08984,0.00788,0.00543,0.10452,0.88216,0.95316
3240,0.67192,0.09169,0.00787,0.00542,0.10430,0.88242,0.95326
3250,0.67260,0.09301,0.00785,0.00541,0.10407,0.88266,0.95336
3260,0.67328,0.09351,0.00773,0.00529,0.10396,0.88302,0.95359
3270,0.67395,0.09471,0.00771,0.00528,0.10374,0.88327,0.95369
3280,0.67462,0.09671,0.00770,0.00527,0.10352,0.88351,0.95379
3290,0.67529,0.09679,0.00768,0.00526,0.10330,0.88376,0.95388
3300,0.67595,0.09542,0.00766,0.00525,0.10309,0.88400,0.95398
3310,0.67661,0.09508,0.00754,0.00524,0.10279,0.88443,0.95421
3320,0.67727,0.09362,0.00742,0.00491,0.10268,0.88499,0.95458
3330,0.67793,0.09254,0.00730,0.00490,0.10236,0.88543,0.95481
3340,0.67859,0.09186,0.00729,0.00489,0.10214,0.88567,0.95491
3350,0.67924,0.09084,0.00727,0.00488,0.10172,0.88612,0.95507
3360,0.67989,0.09082,0.00715,0.00487,0.10162,0.88635,0.95523
3370,0.68053,0.09088,0.00714,0.00486,0.10141,0.88659,0.95532
3380,0.68118,0.09194,0.00713,0.00485,0.10120,0.88682,0.95541
3390,0.68182,0.09221,0.00701,0.00484,0.10089,0.88726,0.95564
3400,0.68246,0.09135,0.00699,0.00483,0.10047,0.88770,0.95580
3410,0.68309,0.09176,0.00698,0.00482,0.10006,0.88814,0.95596
3420,0.68373,0.09036,0.00686,0.00461,0.09955,0.88898,0.95638
3430,0.68436,0.08992,0.00675,0.00450,0.09945,0.88931,0.95661
3440,0.68499,0.09242,0.00663,0.00449,0.09935,0.88953,0.95676
3450,0.68561,0.09261,0.00662,0.00448,0.09914,0.88976,0.95685
3460,0.68624,0.09346,0.00660,0.00447,0.09894,0.88998,0.95694
3470,0.68686,0.09413,0.00659,0.00446,0.09834,0.89061,0.95716
3480,0.68748,0.09100,0.00658,0.00445,0.09794,0.89104,0.95731
3490,0.68809,0.09232,0.00656,0.00444,0.09774,0.89126,0.95740
3500,0.68871,0.09398,0.00655,0.00443,0.09754,0.89148,0.95748
